Title,Date,Comments
Казахстанцы завоевали девять наград на турнире по дзюдо в Словении,16:47,[]
Эти продукты есть нельзя – диетологи составили список,16:14,[]
"Акцизы на бензин, освобождение от налогов, вывозить ли коров, время шуметь – итоги недели",16:00,[]
Экоавтобусы планируют запустить на БАО,15:56,[]
В Красноярском крае были разрушены две дамбы,15:43,[]
Близ Нур-Султана заметили пожар,15:12,[]
Повышение налогов для миллиардеров. Цукерберг выступил против,15:10,[]
"""Казгидромет"" отреагировал на сообщение активиста о загрязнении в Атырау",15:00,[]
"Продолжаются работы по формированию ""зеленого пояса"" вокруг Туркестана",14:43,[]
22 года назад Акмолу объявили столицей,14:23,[]
"""Канделаки не помогла"". В Алматы осудили бывшего топ-менеджера автодилера",13:55,[]
Дом загорелся из-за ДТП в Актау,13:16,[]
"11 стран мира, отчаянно призывающие людей заниматься сексом",13:07,[]
Трамп назвал Клинтон сумасшедшей,12:37,[]
15-летнего подростка сбили на трассе близ Алматы,12:13,[]
Два пенсионера погибли при пожаре в своем доме,11:49,[]
"Казахстанка, весом 35 килограммов стала тренером по бодибилдингу",11:04,[]
Трамп передумал устраивать саммит G7 на своем курорте,10:16,[]
Гололед и туман ожидаются в Казахстане 20 октября,10:03,[]
"Сезон катаний на ""Медеу"" открыт - Сагинтаев",09:15,[]
Наезды на мажилисмена. Заявление генконсула КНР по избиению китайских рабочих – итоги недели,09:00,[]
Макгрегора обвинили в изнасиловании,08:54,[]
Бизнесмена наказали за стихийную свалку в Алматы,08:14,[]
15 тонн неучтенного бензина и дизтоплива обнаружили в Атырау,07:35,[]
В Красноярском крае возобновили спасательные работы на месте прорыва дамбы,07:10,[]
"Девушка ""интеллигентной наружности"" справила нужду в лифте в Нур-Султане",06:22,[]
В Берлине загорелся поезд с футбольными фанатами,06:08,[]
Казахстанка вышла в финал теннисного турнира Oracle Pro Series,02:01,[]
"Казахстанца нокаутировали ""двоечкой"" на турнире Fight Nights Global 95",01:33,[]
Турция готова возобновить операцию в Сирии,00:57,[]
Казахстанец наказал своего обидчика и защитил титул чемпиона M1 Challenge,00:19,[]
